Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
15 Secrets Successful People Know about Time Management (getAbstract Summary),"In his book, <i>15 Secrets Successful People Know About Time Management</i>, Kevin Kruse—New York Times best-selling author and award-winning entrepreneur—combines his skills as a CEO and a journalist to search for common bonds of success by surveying people of great accomplishment. The billionaires, entrepreneurs, and Olympians he interviewed all said that they make the most of every minute, at work and at play. All high achievers regard time as an asset more valuable than money—and they spend every minute wisely. In this audio-only summary of his book, created by getAbstract, you can learn how top achievers manage their time, and why they emphasize the need for rest, exercise, and even fun. Discover how this practical advice can help you become more efficient and more successful.

<br><br>This audiobook summary was created by <a href=""https://www.getabstract.com/en/enterprise/solutions?utm_source=LILearning&utm_medium=partner&utm_campaign=15_secrets_successful_people_time_management"" target=""_blank"">getAbstract</a>, the world’s largest provider of business book summaries. We are pleased to offer this training in our library. <br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIFxvXXPHHCxSa6cPSc5vVo1hQ.jpg"" height=""30%"" width=""30%"">",Course,2023-01-04 13:29 UTC,N/A,false,N/A,
"Italian, Part 4: Using and Expanding Your Skills","<p>Explore the beauty and diversity of Italy’s history, culture, and cuisine as you learn how to handle real-life conversations in Italian. Tuscany is perhaps Italy’s most celebrated and popular region, and the cradle of the Renaissance. This course—the fourth in a four-part series from The Great Courses covers Tuscany's breathtaking medieval cities, beloved food specialties, and iconic artists and writers. See how the <i>passato prossimo</i> tense is used with the auxiliary verb ""essere."" Study expressions of time, and practice your skills in describing the life of Florentine painter Sandro Botticelli.</p>

<p><b>About the instructor</b><br><br>
Kristina Olson is an associate professor of Italian and the Italian program coordinator at George Mason University, where she has taught Italian language, literature, and cinema since 2005. She earned her PhD in Italian from Columbia University. Professor Olson is the author of <i>Courtesy Lost: Dante, Boccaccio, and the Literature of History</i> and several articles on Dante, Boccaccio, and Petrarch. She is the coeditor of <i>Open City: Seven Writers in Postwar Rome</i>; <i>Boccaccio 1313–2013</i>; and the second edition of <i>Approaches to Teaching Dante’s Divine Comedy</i> with the Modern Language Association. Professor Olson is the president of the American Boccaccio Association and was the vice president of the Dante Society of America.</p>",Course,2025-08-13 04:47 UTC,N/A,false,N/A,
Managing Multiple Projects,"<p>Multiple projects mean demands and deadlines coming from all angles, increasing the risk of burnout. So how can you effectively juggle all the projects without feeling overwhelmed? In this audio-only course, Elizabeth Harrin shares her five-part model to take the stress out of project management and prevent surprise derailers.</p><p>Elizabeth Harrin has trained, mentored, and led project managers for over 20 years. She’s the founder of RebelsGuideToPM.com and the author of <i>Managing Multiple Projects</i>.</p><p>Learn how to optimize your workflow by thinking through the 5 Ps: portfolio, plan, people, productivity, and positioning. Discover how to set up time-saving tools and ensure your team follows through. Finally, Elizabeth shares how to flex dynamically using the “iron triangle” of constraints: time, cost, and quality.</p><p>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.</p>",Course,2024-05-30 13:17 UTC,N/A,false,N/A,
Nano Tips to Thrive in Uncertainty and Embrace Change with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover powerful, practical strategies to grow your career by thriving in uncertainty and embracing change with insights from Shadé Zahrai, peak performance researcher and behavioral strategist to Fortune 500 companies.</p><p>Start embracing change in your professional life by tapping into your brain’s learning powerhouse. Learn how to identify communication preferences, transform anxiety into opportunity, cultivate resilience, manage stress, overcome the effects of tunnel vision, embrace acts of microbravery, and accept what you cannot change. Along the way, Shadé shows you how to successfully confront your fear of change and lead more authentically in times of uncertainty.</p>",Course,2025-08-06 05:10 UTC,N/A,false,N/A,
Data Rights Foundations,"The main driver of the technological revolution isn’t artificial intelligence or machine learning. It’s data: data about people like us. So what rights do you have to your own data? What responsibilities do businesses and other institutions have in protecting and respecting those rights? This course helps everyone from laypersons to data science and business professionals understand and move forward in one of the most important issues of our time: In a world driven by data, who owns this valuable resource? Analyst Martin Kemka, a specialist in machine learning and applied AI, helps you understand your rights and how to protect them. He also helps those who work with data understand their responsibilities, including the global policies guiding AI research and applications.",Course,2025-05-19 08:32 UTC,2025-05-19 08:31 UTC,false,N/A,
CISSP Cert Prep (2021): 8 Software Development Security,"Are you preparing to take the Certified Information Systems Security Professional (CISSP) exam, or are you a cybersecurity professional pursuing a better understanding of secure coding practices? In this course, instructor Mike Chapple provides you with the detailed information you need to get ready for the Software Development Security domain of the 2021 CISSP exam. Mike explains software development security practices as needed to complete the exam.  He covers the software development lifecycle, code review, software testing, and common software security issues. Mike also discusses secure coding practices, security considerations for cloud computing, and software security assessment.",Course,2023-08-16 11:04 UTC,N/A,false,N/A,
Learning SAP MM (Materials Management),"To consistently deliver completed products on time, an organization needs an effective system for managing products, inventory, and purchased materials. SAP Materials Management (MM), a key module in SAP S/4HANA, tracks all aspects of material management—from purchase through sale—for enterprise organizations. In this course, learn how to get up and running with SAP MM. To begin, instructor Justin Valley provides a high-level look at the materials management process in SAP MM, as well as how it integrates with other SAP modules. Next, Justin shows how to create material master records and approach the purchasing, inventory management, and physical inventory processes (and run related reports).",Course,2022-09-03 14:02 UTC,N/A,false,N/A,
Review and Manage the SAP MRP List,"The material requirements planning (MRP) list is a key information source for anyone involved in inventory control and manufacturing. This course is focused on review and management of the MRP lists in SAP in order to identify and resolve issues coming out of the planning run. Learn how to access and navigate the MRP lists, decipher the MRP exception messages and traffic lights, and resolve exceptions found in your planning run. Plus, see a demo of the techniques in action.<br><br>This course was created by Michael Management. We are pleased to offer this training in our library.",Course,2021-07-03 09:34 UTC,N/A,false,N/A,
Agile at Work: Reporting with Agile Charts and Boards,"Agile teams need a lightweight way to report their progress. Agile reports should be simple and easy to read, and radiate information across the room to the entire team. In this course, agile expert Doug Rose outlines a process for reporting on the progress of your agile project. He shows how to establish priorities using product backlogs, show daily progress using taskboards, burn down a sprint using sprint burndown charts, and burn down a release by creating a release burndown chart. He also highlights common pitfalls, such as retrofitting.",Course,2025-05-13 08:05 UTC,N/A,false,N/A,
ABAP for SAP Users,"Are you a functional SAP specialist looking for technical training to improve your overall skills? Have you considered ABAP? Advanced Business Application Programming (ABAP) is a programming language for creating business applications in SAP. This introductory course helps you as a business user take the first steps into the world of ABAP. Review the structure of ABAP code. Then use ABAP to explore the database tables that lay behind SAP transactions and check their contents. Plus, discover how to stop and watch running transactions with ABAP commands.<br><br>This course was created by Michael Management. We are pleased to offer this training in our library.",Course,2022-01-07 07:46 UTC,N/A,false,N/A,
Software Architecture: Domain-Driven Design,"It's tough to be agile if you're working with a system that can't handle rapid change. Domain-driven design (DDD)—one of the most effective architectural approaches for both agile environments in general and microservices in particular—can help you build systems that can stand up to change. In this course, Allen Holub provides programmers, software architects, business analysts, and product managers/owners with an overview of this essential architectural process, demonstrating how to use DDD to develop a microservice or other domain-focused system. Alan goes over the basics of DDD (and how it fits with agile), microservices, and bounded contexts and entities. Plus, he compares reactive and declarative systems and details how to approach an event storming session.",Course,2025-10-02 09:46 UTC,N/A,false,N/A,
Laravel Essential Training,"<p>Laravel, the open-source PHP web framework, has become one of the most widely used ecosystems for building scalable apps at lightning-quick speed. If you’re a PHP developer looking to take your career to the next level, this course was made for you. Join instructor Shruti Balasa as she takes you on a journey through the fundamentals of the Laravel framework.</p><p>
Learn about MVC architecture, how the Laravel framework is structured, routes and controllers, Blade files, models, and best practices for interacting with a database. Get tips on using various components in Laravel as you build your own simple note-taking app. From user authentication and routing to CRUD operations and database relations, find out why the latest version, Laravel 11, allows you to build web apps quickly and easily, no matter where you are on your coding journey.</p>
<p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using Codespaces with this course” video to learn how to get started.</p>",Course,2024-09-17 18:19 UTC,N/A,false,N/A,
Excel Supply Chain Analysis: Managing Simulations Using VBA,"<p>Did you know you can record and run Solver macros, generate random inputs, run multiple simulations, and more, in Excel? Moreover, you can do all this without buying expensive specialty software. In this course, instructor Curt Frye shows how to enhance your supply chain analysis using the Solver add-in in combination with VBA. Working from an example transportation problem, Curt steps through creating a reference to the Solver VBA library, recording and running a Solver macro, generating random inputs, and defining a loop structure to run multiple simulations. Then he moves on to enabling detailed analysis by writing model output, creating a results dashboard to analyze your model output, exploring alternative scenarios with a Solver model, and more.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-transportation-professional-certificate?u=104"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2022-05-19 14:53 UTC,N/A,false,N/A,
Excel: Tips and Tricks (2018),"Want to take your Excel game to the next level? In this course, veteran Excel trainer and instructor Dennis Taylor shares powerful tips, tricks, and shortcuts that can help you leverage more of what Excel has to offer. Learn time-saving tricks for creating formulas rapidly, accelerating data entry, and navigating within worksheets efficiently. Plus, discover drag and drop techniques, formatting shortcuts, charting and PivotTable tips, and much more.</br></br>

Note: This course was recorded on Excel for Office 365; however, most of the contents will benefit anyone using Office 2019 or 2016.",Course,2022-10-14 06:34 UTC,N/A,false,N/A,
Designing Data Governance,"<p>More data is produced and ingested than ever before, yet the number of leaders who say they’re data-driven is decreasing. Today’s businesses produce and ingest too much data  for one team or leader to manage it all. That’s where data governance comes in. Organizations today must design data governance—the people, processes, and tools to manage your data at scale—into their business plans.</p><p>
In this course, learn how to design a data governance program from scratch. Instructor Lauren Maffeo explains what data governance is, why every organization needs it, and who should own it. Lauren illustrates the value of data governance frameworks, and shows you how to write a mission statement for data usage in your organization.
She explains what data stewards are, why these aren’t purely technical roles, and how to convene your stewards to create a data governance council that prioritizes the most high-value initiatives.",Course,2025-05-21 10:23 UTC,2025-05-21 10:22 UTC,false,N/A,
Critical Thinking for Better Judgment and Decision-Making,"The pace of change and volume of information we encounter in daily life make it hard to think through decisions. Instead, people often rely on biases and rules of thumb, which trap them into drawing faulty conclusions. The most successful teams use critical thinking—objective and rational analysis—to illuminate the wisest conclusions. This course prepares leaders to hone the critical thinking skills of their entire organization. Learn how to upgrade critical thinking to avoid deceiving fallacies, spot misleading cognitive biases, craft better arguments, hone judgment, and improve decision-making. Instructor Becki Saltzman teaches skills that will improve how your company or team innovates, tackles challenges, and responds to change.",Course,2020-12-08 10:02 UTC,N/A,false,N/A,
Data Analyst Mindset: 10 Nontechnical Ways to Influence Decisions,"<p>Becoming a data analyst has never been easier: take a Python class and boom, you're good to go, right? Not so fast. <i>Analytics on Fire</i> podcast host and keynote speaker Mico Yuk has interviewed multiple heads of data, and their top request is for data analysts whose soft skills match or exceed their technical skills. In this course, Mico teaches you 10 fundamental nontechnical skills that you need to master, to set yourself apart from the data crowd. Find out how to enhance your analysis and influence decisions. Learn how to ask the right questions, advance to using visual action words, and understand what types of insights you should focus on to add value. As you understand your role, apply proven techniques, and go in with a plan, you’ll be ahead of the curve every time.</p>",Course,N/A,N/A,true,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2021-02-27 19:02 UTC,N/A,false,N/A,
SQL Server Database Triggers,"SQL Server database triggers help database developers automate routine tasks. Triggers wait for an activating event to occur, then immediately respond with preprogrammed operations. This course, from database expert Adam Wilbert, takes a deep dive into leveraging these powerful and flexible components of a SQL Server database. Follow along and learn how to create and deploy different types of triggers, and get hands-on experience using triggers to solve common problems, such as timestamping data changes or collecting information about table events. Adam also helps you manage your database triggers: enabling, disabling, and reordering triggers as necessary. Plus, follow along with a hands-on project in chapter six, which uses triggers to perform tasks automatically in an inventory management system, such as updating inventory when new product is received.",Course,2022-08-11 07:00 UTC,N/A,false,N/A,
Happiness Tips,"Get a new happiness tip to help you live a happier life. Coach Chris Croft provides practical, actionable techniques for finding more time for the things you love and maximizing your day-to-day happiness. He's released over 50 tips, on topics such as understanding your options, focusing on the bigger picture, being grateful, savoring experiences, choosing how you spend your time, and more!",Course,2022-04-05 07:20 UTC,N/A,false,N/A,
SAP Business Rule Framework (BRF+) Introduction,"This course covers the basics of the SAP in-house Rapid Application Development tool, Business Rule Framework (BRF+). The course starts with the basics of Rapid Application Development (RAD), then provides an introduction to the concepts and strengths of BRF+. Also covered are the differences between waterfall and agile project management, and details on how to integrate BRF+ into each workflow.
<br><br>
Note: This course was created by Michael Management. We are pleased to host this training in our library",Course,2022-04-12 15:08 UTC,N/A,false,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2021-10-14 11:42 UTC,N/A,false,N/A,
Nano Tips to Ditch Self-Doubt with Shade Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore what it takes to overcome self-doubt and leverage a growth mindset, following advice and practical, easy-to-apply insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.</p><p>Discover strategies to manage self-doubt as a sign of progress, build confidence, and visualize outcomes while preparing for complex challenges. Learn to embrace discomfort for growth, counteract anxiety with intentional actions, and focus on personal progress by letting go of perfection. Along the way, Shadé shares techniques to help you control your mental narrative, identify self-doubt, and build empathy and self-compassion by focusing on positive traits in others.</p>",Course,2025-09-13 17:24 UTC,N/A,false,N/A,
Responsible AI: Principles and Practical Applications,"Artificial intelligence (AI) is becoming an integral component of business practices across all sectors. As businesses turn to automation to improve efficiency and effectiveness, they must be careful to mitigate the risks of AI while maximizing its benefits. In this course, Tsu-Jae Liu—the dean of the College of Engineering at the University of California, Berkeley—Brandie Nonnecke, and Jill Finlayson clearly explain the need for responsible AI, with examples of practical applications.",Course,2025-05-23 12:18 UTC,2025-05-23 12:14 UTC,false,N/A,
What Is Generative AI?,"<p>Whether you work in film, marketing, healthcare, automobile, or real-estate, generative AI is changing the way your job is executed, and those who adapt early will reap its benefits sooner. All professions will be affected by generative AI. Its invention can be compared to the invention of photography, a true creative revolution. If you want to be part of the leaders that are advancing this revolution, this course can get you started on your learning journey.</p><p>In this course, generative AI expert Pinar Seyhan Demirdag covers the basics of generative AI, with topics including what it is, how it works, how to create your own content, different types of models, future predictions, and ethical implications.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-generative-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-05-19 12:14 UTC,N/A,false,N/A,
8 Things You Must Know in Python,"There are many beginner Python tutorials, but to build useful applications, you need to move beyond the basics. This course helps you on the journey to writing intermediate-level Python code. Instructor Jonathan Fernandes presents eight things that you should know how to do in Python. Topics include the Python any() and all() methods, using enumerate() and zip() methods, min() and max(), and more. For each topic, Jonathan provides a hands-on approach and then gives you a CoderPad challenge (with solutions) to practice.
<br><br>
Note: This course was created by Jonathan Fernandes. We are pleased to host this training in our library.",Course,2021-09-28 06:11 UTC,N/A,false,N/A,
Creating API Documentation,"With so many APIs on the market, it’s hard to keep track of what’s what. For programmers, analysts, architects, and technical writers who work with APIs every day, you can’t overstate the importance of documentation that’s clear, concise, and easy to use. In this course, instructor and developer Deepa Maddala shows you how to create effective and approachable API documentation based on current best practices and integrated tools.<br><br>Learn the fundamentals of APIs and the importance of writing standardized API documentation. Explore the components of effective documentation including name, description, endpoints, authorization, parameters, headers, and request and response payloads. Along the way, Deepa gives you tips on how to integrate your documentation with tools like Swagger, Postman, and Confluence.",Course,2025-08-01 12:22 UTC,N/A,false,N/A,
Mistakes You Should Avoid at Work,"Whether you're starting a new job, joining a new team, or working towards a promotion,  there are key mistakes that can prevent you from moving forward in your career. Julie Nisbet outlines 21 of the top workplace mistakes—and simple ways to avoid these blunders. Learn how to present yourself in a professional manner, ask better questions, use technology wisely, and advance your career. Each tip helps you recognize and avoid these toxic and self-destructive behaviors and start putting proactive and positive habits into place. By the end of the course, you'll have the skills and resources you need to get out of your own way and become the in-demand professional that employers want working on their teams.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2023-01-30 10:42 UTC,N/A,false,N/A,
Thinking Creatively,"While we often think of creativity as an inherent trait, anyone—whether they're an artist or an actuary—can learn how to be more creative. In this course, explore the different ways to learn creativity, and discover how to be more creative both on an individual basis and in a team setting. Instructor Drew Boyd shares the importance and power of creativity, goes over the barriers to creativity, and shows you some behaviors and techniques that can help you generate novel ideas or solutions to problems, as an individual. He covers ways to create a creativity dream team, facilitate effective group sessions for a better creative output, select the best ideas, and more.",Course,2023-03-03 18:35 UTC,N/A,false,N/A,
Data Science and Analytics Career Paths and Certifications: First Steps,"The career opportunities in data science, big data, and data analytics are growing dramatically. If you're interested in changing career paths, determining the right course of study, or deciding if certification is worth your time, check out this course with information science and technology professor Jungwoo Ryoo.<br><br>Explore the history of data science and its subfields, their roles in the marketplace, and the five main skills that you need to know to succeed: data mining, machine learning, natural language processing, statistics, and visualization. Learn about potential roles, career opportunities, ethics, and professional development. And get tips on the leading industry-recognized certifications that can set you apart in the field. Along the way, Jungwoo gathers testimony and shares real-world insights from data science professionals at various stages in their careers.",Course,2022-05-12 06:31 UTC,N/A,false,N/A,
Product Management Insights,"<p>Looking to ramp up your skill set as a high-performing product manager? Get up and running today in this bootcamp-style course with LinkedIn product management experts Hari Srinivasan, Gyanda Sachdeva, and Damien Coullon. Join Hari, Gyanda, and Damien as they draw insights from their own experiences and give you a hands-on overview of some of the most crucial skills a PM needs to know to be successful at a large organization.</p><p>Learn how to perform at a high level—in any business context—and build products that resonate with your users and customers. Get tips for defining a problem statement, examining your audience and customer base, prioritizing problems in light of your customers’ and organization’s needs, driving feature growth, and dealing with conflict. Along the way, Hari, Gyanda, and Damien offer practical strategies for growth and success in a product ecosystem, attending to the unique considerations of both your enterprise and consumers, and communicating clearly and effectively with purpose.</p>",Course,2025-08-30 09:58 UTC,N/A,false,N/A,
Critical Thinking for More Effective Communication,"In order to be a successful leader, clear communication is a key aspect to your effectiveness. After a conversation with you, do people feel clear on your position, or confused? Are they confident that you’ll welcome different perspectives, or are they uncomfortable voicing disagreement with you? In this course, Becki Saltzman shows how critical thinking improves your clarity of thought and conversation confidence, and explains how and when to communicate using critical thinking. Becki gives advice on how to construct good arguments and recognize bad ones, how to maintain productive communication even when you disagree, and how to recognize the difference between debating and negotiating. Whether you’re a seasoned leader or new to a leadership role, by the end of this course you’ll have new ways to communicate more effectively through critical thinking.",Course,2023-08-11 06:15 UTC,N/A,false,N/A,
Solving Business Problems,"Do you have a business problem that you are having trouble solving? Mike Figliuolo has a simple five-step process for solving problems and leading your business through everyday uncertainty and larger change initiatives. Learn to pin the problem down and define it, generate possible solutions, determine the best solution, and create a clear recommendation to solve your particular challenge. This is the same process Mike has taught multibillion-dollar companies to solve their business problems. Learn how to use it to solve your own.",Course,2022-12-12 12:12 UTC,N/A,false,N/A,
Nano Tips to Uncover Your Strengths with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore the power of uncovering your inner strengths and managing your weaknesses to promote personal growth.</p><p>Join peak performance researcher and behavioral strategist Shadé Zahrai to learn the secrets of identifying and evolving your strengths with a genuinely curious, growth-focused mindset. Unearth your best possible self and start building on the innate qualities of your character, gathering feedback, unlocking your full potential, seeking balance, and finding your flow state. Along the way, Shadé shows you how to scrutinize your weaknesses to weed out bad habits, play to your strengths, and invest in your future self.</p>",Course,2025-08-01 03:43 UTC,N/A,false,N/A,
Data Steward Foundations,"Data stewardship programs help organizations achieve the maximum value from their information assets. In this course, instructor Mike Chapple shows you the basic foundations of data stewardship and best practices for getting your own data stewardship program off the ground. Mike explores the roles, qualities, and responsibilities of a data steward. He goes over best practices for maintaining data quality, then explains the many protections that go into maintaining data security. Mike discusses privacy controls and the patchwork of international, national, and local laws that govern data security and privacy. He concludes with useful steps you can take in building a data stewardship program.",Course,2025-05-21 12:32 UTC,2025-05-20 10:00 UTC,false,N/A,
Learning Python (2020),"Python—the popular and highly readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.",Course,2021-08-25 16:32 UTC,N/A,false,N/A,
Boosting Your Time Management with AI Tools,"In this course, instructor Brad Aeon shows you how to harness the power of artificial intelligence to improve your time management, enhance productivity, and achieve your goals more efficiently. Get started by exploring how AI can aid in defining and setting clear and actionable goals through mental contrasting. Discover techniques to overcome procrastination, break your goals into smaller, more approachable tasks, and create more optimized workflows and schedules. Along the way, Brad outlines how AI can help you prioritize tasks on-the-fly, detox your to-do list, and automate repetitive work. By the end of this course, you’ll be prepared to use AI to turn notes into actionable plans and reflect on your progress for continuous improvement.",Course,2025-10-01 08:38 UTC,N/A,false,N/A,
Java Practice: Functional Programming,"<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your coding skills.</p>
<p>Functional code, where functions are treated as objects, can be less verbose and easier to analyze, test, and maintain than its procedural or object-oriented equivalent. If you’re a Java developer who has used tools like Lambda expressions, method references, and streams, then you’ve probably discovered how much less verbose your code can be. In this course, David Gassner tests your new knowledge with software development problems that you can solve with elegant functional code. Each challenge presents instructions, and then it’s up to you to dive in and solve the challenges right in your browser.</p>",Course,2024-04-14 17:01 UTC,N/A,false,N/A,
Nano Tips for Peak Performance with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out how to supercharge your performance, exploring key insights and techniques from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Learn how to optimize your brain power, habits you can establish for success, and how you can set up a commitment to excellence to level up your career and performance for the long term.",Course,2025-07-30 17:05 UTC,N/A,false,N/A,
OpenAI API: Agents,"AI agents generate plans and perform complex multi-step tasks based on the user input. The OpenAI API provides comprehensive support for building AI agents that use models, tools, knowledge and memory, audio and speech, guardrails, orchestration, and MCP that can be customized to fit specific needs and scenarios. This course explores how to develop advanced agents with the OpenAI API and the Agents Python SDK. Through videos, articles, and hands-on practice in GitHub Codespaces, you’ll define custom agents, set up agent runners, configure handoffs so agents can work together, add guardrails for content moderation, and extend the agents with off-the-shelf OpenAI features, custom functions, and MCP (Model Context Protocol) servers.",Course,2025-05-19 07:46 UTC,N/A,true,N/A,
Power BI: Integrating AI and Machine Learning,"Power BI is a powerful data analytics and visualization tool that allows business users to monitor data, analyze trends, and make decisions. Every month, Microsoft pushes Power BI updates out to the end users, and the growth of Power BI is a key part of Microsoft’s current strategy. This course showcases existing AI and machine learning capabilities available directly in accessible Power BI functionalities. Data analytics and business analysis expert Helen Wall gives you a useful overview of Power BI, then dives into the steps to configure Power Query and your data model. Helen steps through analyzing single variables and shows you the tools and techniques to measure relationships between variables. She shows you visuals that you can use to pose and answer questions in Power BI, explains useful techniques to enhance your analysis of time series data, and walks you through some best practices for sharing your analysis.",Course,2021-10-25 12:30 UTC,N/A,false,N/A,
Learning SAP Production Planning,"SAP Production Planning (PP) is a very useful data analysis module for companies involved in production or manufacturing of goods. In this course, instructor Justin Valley walks through how to use the SAP Production Planning module for discrete, repetitive, and process manufacturing. Justin shows various ways the production planning module can leverage data inside SAP to help inform business decision-making and to help streamline the production and manufacturing processes for a company. He gives you an overview of the SAP Production Planning module, then goes into master data, the mostly static information that Production Planning and production execution rely upon. Justin explains planning strategies and processes in SAP, then finishes up with a thorough explanation of the production execution step.",Course,2021-11-24 20:17 UTC,N/A,false,N/A,
SQL Essential Training (2019),"Knowing how to code and manage relational databases and database-driven applications is a valuable skill for any career in tech. Completely updated for 2019, <i>SQL Essential Training</i> is designed to help users understand the most common language for database wrangling, SQL. All the lessons have been recorded in SQLiteStudio, an intuitive and easy-to-install database manager. Instructor Bill Weinman teaches all the major features of SQL: creating tables; defining relationships; manipulating strings, numbers, and dates; using triggers to automate actions; and using subselects and views. He offers a solid working knowledge of the language and shows how to retrieve and manage data efficiently. The final chapter includes a real-world example of building a simple application using SQL.<br><br>

This course was created by Bill Weinman. We are pleased to offer this training in our library.",Course,2022-03-27 09:34 UTC,N/A,false,N/A,
Leading with Generative AI: Master Change Management for Success,"Master the integration of generative AI within organizational change management in this comprehensive course designed for business leaders and transformation specialists. Through 15 focused modules, instructors Christopher White and Bob Higgins offer insights on how to navigate the unique challenges of implementing AI technologies while maintaining organizational stability and growth. This course introduces the innovative FASTER framework, a structured approach specifically designed for AI-driven transformations. Along the way, explore the historical context of AI compared to past technological innovations, strategic approaches to workforce adaptation and development, practical implementations of the FASTER framework for AI integration, methods for building organizational readiness and acceptance, techniques for sustainable change management in the age of AI, and strategies for measuring and replicating transformation success.",Course,2025-02-11 09:45 UTC,N/A,false,N/A,
Global Data Stewardship,"<p>Creating a systematic and sustainable data access program is critical for data stewardship. What you do with your data, how you reuse it, and how you make it available to the general public can help others reimagine what’s possible for data sharing and cross-sector data collaboration. In this course, instructor Stefaan Verhulst shows you how to develop and manage data reuse initiatives as a competent and responsible global data steward.</p><p>Following the insights of current research and practical, real-world examples, learn about the growing importance of data stewardship, data supply, and data demand to understand the value proposition and societal case for data reuse. Get tips on designing and implementing data collaboration models, governance framework, and infrastructure, as well as best practices for measuring, sunsetting, and supporting data reuse initiatives. Upon completing this course, you’ll be ready to start pushing your new skill set and continue your data stewardship learning journey.</p>",Course,2025-05-19 07:50 UTC,N/A,true,N/A,
Advanced Python in Excel for Finance: A Hands-On Approach,"This course is designed to equip finance professionals with the skills to harness the computational power of Python directly within the familiar environment of Excel. As financial datasets become more complex and voluminous, the need for robust, automated, and advanced analysis is paramount. This course bridges that gap by showing you how to teach Python to perform sophisticated financial analysis, automate repetitive tasks, and create dynamic financial models.",Course,2025-05-25 18:43 UTC,N/A,false,N/A,
